,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,year
1,DEU,Europe,Germany,2022-01-01,7194025,28965,28674.571,118577,112,152.857,86290.498,347.428,343.944,1422.301,1.343,1.833,1.13,3825,45.88,NA,NA,1491,17.884,5382,64.556,NA,NA,NA,NA,143018,1.715,NA,NA,tests performed,153995046,62758193,59161033,34359871,28688,384571,184.71,75.28,70.96,41.21,4613,34218,0.041,42.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
2,DEU,Europe,Germany,2022-01-02,7208250,14225,29217.714,118634,57,149.571,86461.123,170.625,350.459,1422.985,0.684,1.794,1.22,3806,45.652,NA,NA,1472,17.656,5384,64.58,93432954,NA,1120.184,NA,137208,1.645,0.215,4.7,tests performed,154149145,62774611,59175365,34483245,154099,397652,184.9,75.3,70.98,41.36,4770,35806,0.043,42.68,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,91655.51,4.75,17.27,1099.3845,2022
3,DEU,Europe,Germany,2022-01-03,7222829,14579,29813.714,118698,64,147,86635.995,174.871,357.608,1423.752,0.768,1.763,1.31,3802,45.604,NA,NA,1431,17.164,5392,64.676,NA,NA,NA,NA,148227,1.777,NA,NA,tests performed,154631122,62814204,59237711,34863598,481977,379941,185.48,75.34,71.05,41.82,4557,34206,0.041,42.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
4,DEU,Europe,Germany,2022-01-04,7258779,35950,31453.429,118853,155,144.286,87067.206,431.211,377.276,1425.611,1.859,1.731,1.51,3670,44.021,NA,NA,1418,17.009,5451,65.383,NA,NA,NA,NA,159246,1.909,NA,NA,tests performed,155332942,62871734,59334199,35412127,701820,373273,186.32,75.41,71.17,42.48,4477,33182,0.04,42.64,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
5,DEU,Europe,Germany,2022-01-05,7323269,64490,34475.143,119048,195,139.429,87840.747,773.541,413.521,1427.95,2.339,1.672,1.51,3561,42.713,NA,NA,1401,16.805,5402,64.796,NA,NA,NA,NA,170265,2.041,NA,NA,tests performed,156150467,62932160,59447804,36056117,817525,390009,187.3,75.49,71.31,43.25,4678,32536,0.039,42.62,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
6,DEU,Europe,Germany,2022-01-06,7387751,64482,37736.571,119203,155,133.429,88614.192,773.445,452.641,1429.81,1.859,1.6,1.49,3439,41.25,NA,NA,1395,16.733,5340,64.052,NA,NA,NA,NA,181284,2.173,NA,NA,tests performed,156834932,62983730,59540727,36596605,684465,418295,188.12,75.55,71.42,43.9,5017,33218,0.04,42.6,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
7,DEU,Europe,Germany,2022-01-07,7444037,56286,39853.857,119326,123,123,89289.328,675.136,478.037,1431.285,1.475,1.475,1.47,3380,40.542,NA,NA,1425,17.093,5119,61.401,NA,NA,NA,NA,192303,2.306,NA,NA,tests performed,157601984,63040539,59659139,37189404,767052,519375,189.04,75.62,71.56,44.61,6230,40652,0.049,42.57,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
8,DEU,Europe,Germany,2022-01-08,7499914,55877,43698.429,119448,122,124.429,89959.559,670.23,524.152,1432.748,1.463,1.492,1.45,3314,39.751,NA,NA,1374,16.481,5329,63.92,NA,NA,NA,NA,203322,2.438,NA,NA,tests performed,158121986,63086260,59742176,37580858,520002,589563,189.66,75.67,71.66,45.08,7072,46867,0.056,42.55,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
9,DEU,Europe,Germany,2022-01-09,7536956,37042,46958,119520,72,126.571,90403.868,444.309,563.249,1433.612,0.864,1.518,1.44,3273,39.259,NA,NA,1339,16.061,5452,65.395,94933341,NA,1138.173,NA,214341,2.57,0.228,4.4,tests performed,158307123,63104972,59777035,37712524,185137,593997,189.89,75.69,71.7,45.24,7125,47194,0.057,42.54,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,92495.91,4.75,4.22,1109.4648,2022
10,DEU,Europe,Germany,2022-01-10,7560698,23742,48267,119566,46,124,90688.647,284.779,578.95,1434.164,0.552,1.487,1.44,3249,38.971,NA,NA,1294,15.521,5396,64.724,NA,NA,NA,NA,225630,2.705,NA,NA,tests performed,158867218,63142353,59862079,38150688,560095,605157,190.56,75.74,71.8,45.76,7259,46878,0.056,42.52,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
11,DEU,Europe,Germany,2022-01-11,7614416,53718,50805.286,119664,98,115.857,91332.981,644.334,609.396,1435.339,1.175,1.39,1.41,3153,37.819,NA,NA,1252,15.017,5277,63.296,NA,NA,NA,NA,236918,2.84,NA,NA,tests performed,159664278,63196740,59983478,38772797,797060,618762,191.51,75.8,71.95,46.51,7422,46429,0.056,42.49,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
12,DEU,Europe,Germany,2022-01-12,7700522,86106,53893.286,119788,124,105.714,92365.8,1032.82,646.436,1436.827,1.487,1.268,1.43,3048,36.56,NA,NA,1198,14.37,5060,60.693,NA,NA,NA,NA,248207,2.976,NA,NA,tests performed,160546009,63256573,60118531,39460116,881731,627935,192.57,75.87,72.11,47.33,7532,46345,0.056,42.46,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
13,DEU,Europe,Germany,2022-01-13,7788939,88417,57312.571,119904,116,100.143,93426.34,1060.539,687.45,1438.218,1.391,1.201,1.44,2956,35.456,NA,NA,1179,14.142,5008,60.07,NA,NA,NA,NA,259495,3.111,NA,NA,tests performed,161383884,63314902,60245514,40113280,837875,649850,193.58,75.94,72.26,48.11,7795,47310,0.057,42.43,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
14,DEU,Europe,Germany,2022-01-14,7873027,84088,61284.286,120014,110,98.286,94434.954,1008.614,735.089,1439.537,1.319,1.179,1.46,2868,34.401,NA,NA,1120,13.434,5106,61.245,NA,NA,NA,NA,270784,3.246,NA,NA,tests performed,162164168,63377461,60360798,40716254,780284,651741,194.51,76.02,72.4,48.84,7817,48132,0.058,42.41,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
15,DEU,Europe,Germany,2022-01-15,7953826,80799,64844.571,120122,108,96.286,95404.117,969.163,777.794,1440.833,1.295,1.155,1.46,2797,33.549,NA,NA,1095,13.134,5172,62.037,NA,NA,NA,NA,282072,3.382,NA,NA,tests performed,162631402,63436211,60432530,41053094,467234,644202,195.07,76.09,72.49,49.24,7727,49993,0.06,42.39,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
16,DEU,Europe,Germany,2022-01-16,8011192,57366,67748,120205,83,97.857,96092.208,688.091,812.62,1441.828,0.996,1.174,1.46,2742,32.89,NA,NA,1091,13.086,5226,62.685,96986867,NA,1162.793,NA,293361,3.517,0.244,4.1,tests performed,162785933,63455132,60456068,41165373,154531,639830,195.26,76.11,72.52,49.38,7675,50023,0.06,42.38,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,92130.11,4.68,-1.81,1105.0771,2022
17,DEU,Europe,Germany,2022-01-17,8046799,35607,69443,120258,53,98.857,96519.305,427.097,832.951,1442.464,0.636,1.186,1.47,2744,32.914,NA,NA,1060,12.714,5281,63.344,NA,NA,NA,NA,302995,3.633,NA,NA,tests performed,163267268,63494717,60530606,41532944,481335,628579,195.83,76.16,72.6,49.82,7540,50338,0.06,42.37,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
18,DEU,Europe,Germany,2022-01-18,8129546,82747,73590,120406,148,106,97511.834,992.529,882.693,1444.239,1.775,1.271,1.47,2667,31.99,NA,NA,1044,12.523,5464,65.539,NA,NA,NA,NA,312629,3.748,NA,NA,tests performed,163920058,63545417,60628904,42037365,652790,607969,196.62,76.22,72.72,50.42,7292,49811,0.06,42.34,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
19,DEU,Europe,Germany,2022-01-19,8256322,126776,79400,120538,132,107.143,99032.48,1520.646,952.383,1445.823,1.583,1.285,1.49,2570,30.826,NA,NA,1036,12.427,5724,68.658,NA,NA,NA,NA,322263,3.864,NA,NA,tests performed,164601486,63604009,60735617,42554044,681428,579354,197.44,76.29,72.85,51.04,6949,49634,0.06,42.32,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
20,DEU,Europe,Germany,2022-01-20,8396496,140174,86793.857,120665,127,108.714,100713.831,1681.351,1041.07,1447.346,1.523,1.304,1.5,2447,29.351,NA,NA,1023,12.271,6034,72.376,NA,NA,NA,NA,331897,3.979,NA,NA,tests performed,165303324,63661838,60843267,43090667,701838,559920,198.28,76.36,72.98,51.69,6716,49562,0.059,42.29,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
21,DEU,Europe,Germany,2022-01-21,8541111,144615,95440.571,120808,143,113.429,102448.451,1734.62,1144.785,1449.061,1.715,1.361,1.51,2418,29.003,NA,NA,1034,12.403,6330,75.927,NA,NA,NA,NA,341531,4.095,NA,NA,tests performed,165901732,63715286,60938647,43540599,598408,533938,198.99,76.42,73.09,52.23,6404,48261,0.058,42.27,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
22,DEU,Europe,Germany,2022-01-22,8685236,144125,104487.143,120946,138,117.714,104177.194,1728.743,1253.297,1450.716,1.655,1.412,1.51,2398,28.763,NA,NA,1053,12.63,6692,80.269,NA,NA,NA,NA,351165,4.21,NA,NA,tests performed,166198249,63753640,60996661,43740870,296517,509550,199.35,76.47,73.16,52.47,6112,45347,0.054,42.26,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
23,DEU,Europe,Germany,2022-01-23,8781534,96298,110048.857,121048,102,120.429,105332.264,1155.07,1320.008,1451.94,1.223,1.445,1.52,2424,29.075,NA,NA,1048,12.57,6836,81.996,99512461,NA,1193.073,NA,360799,4.326,0.321,3.1,tests performed,166306015,63766922,61023294,43808743,107766,502869,199.48,76.49,73.2,52.55,6032,44541,0.053,42.25,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,91695.11,4.61,-2.15,1099.8595,2022
24,DEU,Europe,Germany,2022-01-24,8843456,61922,113808.143,121126,78,124,106075.003,742.739,1365.1,1452.876,0.936,1.487,1.52,2432,29.171,NA,NA,1108,13.29,7058,84.659,NA,NA,NA,NA,361597,4.335,NA,NA,tests performed,166663282,63798013,61088618,44069791,357267,485145,199.91,76.52,73.27,52.86,5819,43328,0.052,38.7,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
25,DEU,Europe,Germany,2022-01-25,8982739,139283,121884.714,121292,166,126.571,107745.667,1670.664,1461.976,1454.867,1.991,1.518,1.5,2396,28.739,NA,NA,1161,13.926,7402,88.785,NA,NA,NA,NA,362394,4.345,NA,NA,tests performed,167164058,63839566,61175405,44442672,500776,463429,200.51,76.57,73.38,53.31,5559,42021,0.05,38.7,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
26,DEU,Europe,Germany,2022-01-26,9176209,193470,131412.429,121480,188,134.571,110066.29,2320.623,1576.259,1457.122,2.255,1.614,1.49,2364,28.356,NA,NA,1189,14.262,7742,92.863,NA,NA,NA,NA,363191,4.354,NA,NA,tests performed,167668204,63881081,61260605,44820236,504146,438103,201.11,76.62,73.48,53.76,5255,39582,0.047,38.7,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
27,DEU,Europe,Germany,2022-01-27,9371092,194883,139228,121662,182,142.429,112403.862,2337.572,1670.004,1459.305,2.183,1.708,1.47,2273,27.264,NA,NA,1207,14.478,7908,94.854,NA,NA,NA,NA,363989,4.364,NA,NA,tests performed,168178554,63922913,61356714,45192533,510350,410747,201.73,76.67,73.6,54.21,4927,37296,0.045,38.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
28,DEU,Europe,Germany,2022-01-28,9570250,199158,147019.857,121838,176,147.143,114792.712,2388.849,1763.466,1461.416,2.111,1.765,1.45,2259,27.096,NA,NA,1222,14.658,8116,97.349,NA,NA,NA,NA,364786,4.373,NA,NA,tests performed,168616838,63961479,61438791,45510050,438284,387872,202.25,76.72,73.69,54.59,4652,35170,0.042,38.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
29,DEU,Europe,Germany,2022-01-29,9758141,187891,153272.143,122017,179,153,117046.416,2253.705,1838.46,1463.563,2.147,1.835,1.43,2222,26.652,NA,NA,1251,15.005,8273,99.233,NA,NA,NA,NA,365583,4.383,NA,NA,tests performed,168828824,63988005,61492581,45641708,211986,375796,202.51,76.75,73.76,54.75,4508,33481,0.04,38.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
30,DEU,Europe,Germany,2022-01-30,9882991,124850,157351,122158,141,158.571,118543.96,1497.544,1887.385,1465.254,1.691,1.902,1.42,2268,27.204,NA,NA,1298,15.569,8459,101.464,102077126,NA,1223.821,NA,366381,4.393,0.404,2.5,tests performed,168904414,63996924,61513560,45687397,75590,371200,202.6,76.76,73.78,54.8,4452,32857,0.039,38.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,91433.31,4.55,-1.28,1096.7192,2022
31,DEU,Europe,Germany,2022-01-31,9957839,74848,159197.571,122241,83,159.286,119441.743,897.783,1909.534,1466.25,0.996,1.911,1.41,2304,27.636,NA,NA,1338,16.049,8491,101.847,NA,NA,NA,NA,367504,4.406,NA,NA,tests performed,169137403,64018481,61561557,45850623,232989,353446,202.88,76.79,73.84,55,4239,31495,0.038,38.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
32,DEU,Europe,Germany,2022-02-01,10116969,159130,162032.857,122459,218,166.714,121350.467,1908.724,1943.543,1468.865,2.615,2,1.38,2259,27.096,NA,NA,1381,16.565,8616,103.347,NA,NA,NA,NA,368627,4.42,NA,NA,tests performed,169430588,64044050,61618659,46061041,293185,323790,203.23,76.82,73.91,55.25,3884,29212,0.035,38.69,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
33,DEU,Europe,Germany,2022-02-02,10347825,230856,167373.714,122714,255,176.286,124119.526,2769.059,2007.605,1471.923,3.059,2.115,1.35,2311,27.72,NA,NA,1415,16.973,8905,106.813,NA,NA,NA,NA,369750,4.433,NA,NA,tests performed,169792351,64074692,61688076,46322555,361763,303450,203.66,76.86,73.99,55.56,3640,27659,0.033,38.68,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
34,DEU,Europe,Germany,2022-02-03,10587323,239498,173747.286,122990,276,189.714,126992.243,2872.718,2084.054,1475.234,3.311,2.276,1.33,2262,27.132,NA,NA,1478,17.728,9321,111.803,NA,NA,NA,NA,370873,4.446,NA,NA,tests performed,170134605,64103430,61755395,46568670,342254,279436,204.07,76.89,74.07,55.86,3352,25788,0.031,38.68,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
35,DEU,Europe,Germany,2022-02-04,10824496,237173,179178,123233,243,199.286,129837.073,2844.83,2149.194,1478.148,2.915,2.39,1.31,2306,27.66,NA,NA,1543,18.508,9793,117.465,NA,NA,NA,NA,371996,4.46,NA,NA,tests performed,170447403,64129589,61824638,46786040,312798,261509,204.45,76.92,74.16,56.12,3137,24016,0.029,38.68,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
36,DEU,Europe,Germany,2022-02-05,11034332,209836,182313,123468,235,207.286,132354.002,2516.929,2186.798,1480.967,2.819,2.486,1.29,2306,27.66,NA,NA,1565,18.772,10100,121.147,NA,NA,NA,NA,373119,4.473,NA,NA,tests performed,170595247,64145963,61876610,46865501,147844,252346,204.62,76.94,74.22,56.21,3027,22565,0.027,38.68,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
37,DEU,Europe,Germany,2022-02-06,11167633,133301,183520.286,123637,169,211.286,133952.914,1598.912,2201.279,1482.994,2.027,2.534,1.27,2343,28.104,NA,NA,1604,19.24,10215,122.526,104696822,NA,1255.229,NA,374242,4.487,0.443,2.3,tests performed,170648307,64151547,61895014,46894568,53060,249128,204.69,76.95,74.24,56.25,2988,22089,0.026,38.68,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,90983.11,4.48,-2.13,1091.3192,2022
38,DEU,Europe,Germany,2022-02-07,11250482,82849,184663.286,123745,108,214.857,134946.667,993.753,2214.989,1484.29,1.295,2.577,1.25,2375,28.488,NA,NA,1629,19.539,10309,123.654,NA,NA,NA,NA,371607,4.455,NA,NA,tests performed,170816096,64164388,61934821,47009693,167789,239813,204.89,76.96,74.29,56.39,2876,20844,0.025,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
39,DEU,Europe,Germany,2022-02-08,11428658,178176,187384.143,123996,251,219.571,137083.842,2137.176,2247.625,1487.3,3.011,2.634,1.22,2392,28.691,NA,NA,1640,19.671,10609,127.252,NA,NA,NA,NA,368973,4.424,NA,NA,tests performed,171093053,64185948,61994031,47205704,276957,237495,205.22,76.99,74.36,56.62,2849,20271,0.024,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
40,DEU,Europe,Germany,2022-02-09,11679680,251022,190265,124302,306,226.857,140094.787,3010.945,2282.18,1490.971,3.67,2.721,1.19,2397,28.751,NA,NA,1689,20.259,10889,130.611,NA,NA,NA,NA,366338,4.392,NA,NA,tests performed,171376125,64205932,62054138,47408617,283072,226253,205.56,77.01,74.43,56.87,2714,18749,0.022,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
41,DEU,Europe,Germany,2022-02-10,11927182,247502,191408.429,124596,294,229.429,143063.511,2968.723,2295.895,1494.497,3.526,2.752,1.17,2396,28.739,NA,NA,1681,20.163,10938,131.199,NA,NA,NA,NA,363703,4.361,NA,NA,tests performed,171653513,64224726,62112919,47608370,277388,216987,205.89,77.04,74.5,57.11,2603,17328,0.021,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
42,DEU,Europe,Germany,2022-02-11,12157319,230137,190403.286,124907,311,239.143,145823.945,2760.435,2283.839,1498.228,3.73,2.868,1.15,2403,28.823,NA,NA,1684,20.199,10860,130.263,NA,NA,NA,NA,361068,4.329,NA,NA,tests performed,171904560,64242249,62171095,47783598,251047,208165,206.2,77.06,74.57,57.32,2497,16094,0.019,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
43,DEU,Europe,Germany,2022-02-12,12363953,206634,189945.857,125159,252,241.571,148302.468,2478.522,2278.352,1501.25,3.023,2.898,1.13,2404,28.835,NA,NA,1676,20.103,10800,129.543,NA,NA,NA,NA,358433,4.297,NA,NA,tests performed,172015117,64252761,62208522,47846106,110557,202839,206.33,77.07,74.62,57.39,2433,15257,0.018,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
44,DEU,Europe,Germany,2022-02-13,12486254,122301,188374.429,125330,171,241.857,149769.437,1466.969,2259.503,1503.301,2.051,2.901,1.11,2432,29.171,NA,NA,1678,20.127,10702,128.368,107187412,NA,1285.089,NA,355799,4.266,0.44,2.3,tests performed,172049657,64255788,62220028,47866101,34540,200193,206.37,77.07,74.63,57.41,2401,14892,0.018,38.67,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,90319.31,4.4,-3.14,1083.3572,2022
45,DEU,Europe,Germany,2022-02-14,12560367,74113,187126.429,125447,117,243.143,150658.404,888.967,2244.534,1504.705,1.403,2.916,1.09,2475,29.687,NA,NA,1698,20.367,10632,127.528,NA,NA,NA,NA,349394,4.189,NA,NA,tests performed,172183786,64265339,62249927,47960734,134129,195384,206.53,77.08,74.67,57.53,2344,14422,0.017,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
46,DEU,Europe,Germany,2022-02-15,12718962,158595,184329.143,125700,253,243.429,152560.71,1902.307,2210.981,1507.739,3.035,2.92,1.07,2498,29.963,NA,NA,1688,20.247,10532,126.329,NA,NA,NA,NA,342989,4.112,NA,NA,tests performed,172407852,64279759,62296467,48123793,224066,187828,206.8,77.1,74.72,57.72,2253,13402,0.016,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
47,DEU,Europe,Germany,2022-02-16,12947761,228799,181154.429,126001,301,242.714,155305.096,2744.386,2172.901,1511.35,3.61,2.911,1.06,2469,29.615,NA,NA,1678,20.127,10491,125.837,NA,NA,NA,NA,336584,4.035,NA,NA,tests performed,172632727,64292818,62340200,48291812,224875,179515,207.07,77.12,74.78,57.92,2153,12412,0.015,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
48,DEU,Europe,Germany,2022-02-17,13177815,230054,178661.857,126324,323,246.857,158064.535,2759.439,2143.003,1515.224,3.874,2.961,1.05,2475,29.687,NA,NA,1685,20.211,10533,126.341,NA,NA,NA,NA,330179,3.959,NA,NA,tests performed,172861342,64305655,62386152,48461573,228615,172547,207.34,77.13,74.83,58.13,2070,11561,0.014,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
49,DEU,Europe,Germany,2022-02-18,13391002,213187,176240.429,126670,346,251.857,160621.659,2557.124,2113.959,1519.374,4.15,3.021,1.05,2437,29.231,NA,NA,1659,19.899,10580,126.904,NA,NA,NA,NA,323774,3.882,NA,NA,tests performed,173072265,64321877,62434140,48608235,210923,166815,207.6,77.15,74.89,58.3,2001,11375,0.014,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
50,DEU,Europe,Germany,2022-02-19,13569789,178787,172262.286,126931,261,253.143,162766.163,2144.505,2066.242,1522.505,3.131,3.036,1.04,2417,28.991,NA,NA,1646,19.743,10563,126.7,NA,NA,NA,NA,317370,3.805,NA,NA,tests performed,173153471,64328591,62461961,48654829,81206,162622,207.69,77.16,74.92,58.36,1951,10833,0.013,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
51,DEU,Europe,Germany,2022-02-20,13689427,119638,171881.857,127120,189,255.714,164201.191,1435.027,2061.679,1524.772,2.267,3.067,1.03,2394,28.715,NA,NA,1605,19.252,10638,127.6,109364166,NA,1311.186,NA,310965,3.728,0.454,2.2,tests performed,173184473,64330977,62471403,48673998,31002,162117,207.73,77.16,74.93,58.38,1945,10741,0.013,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,89815.914,4.33,-2.32,1077.319,2022
52,DEU,Europe,Germany,2022-02-21,13753671,64244,170472,127233,113,255.143,164971.781,770.59,2044.768,1526.127,1.355,3.06,1.02,2416,28.979,NA,NA,1579,18.94,10706,128.416,NA,NA,NA,NA,307239,3.684,NA,NA,tests performed,173317029,64341266,62499826,48767817,132556,161892,207.89,77.18,74.97,58.5,1942,10847,0.013,38.66,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,83369840,NA,NA,NA,NA,2022
